Ativo,Retorno_Total,Retorno_Anual,CAGR,Volatilidade_Anual,Volatilidade_Baixa,Sharpe,Sortino,VaR_95%,CVaR_95%,Max_Drawdown,Ulcer_Index,Skewness,Kurtosis,Ratio_Sharpe_Sortino
SELIC,0.16607796273186848,0.08255967450772136,0.07855546730654162,0.11947278124705547,0.1286122059107469,0.6811984592492876,0.6327912186204158,0.0,-0.00036052926553093915,-0.16939867594492264,0.01322870690741439,5.894432045175447,75.76239917000316,1.0764979652126134
CDI,0.16607796273186848,0.08255967450772136,0.07855546730654162,0.11947278124705547,0.1286122059107469,0.6811984592492876,0.6327912186204158,0.0,-0.00036052926553093915,-0.16939867594492264,0.01322870690741439,5.894432045175447,75.76239917000316,1.0764979652126134
IPCA,0.999999999999998,-9.243368659505398,0.40657599381901477,16.363190672795618,113.12967188889603,-0.5649597223648306,-0.08171634819717685,0.0,-0.05459806915695398,-1.0240963855421685,0.27159095567852476,-21.683842473349472,484.7635057650547,6.913668254014671
IGPM,-0.16000000000000014,-6.0404647812540135,-0.08223559224908161,7.241296536838694,35.306523480279836,-0.8343312210069483,-0.17111964548501982,0.0,-0.04062821780027359,-1.7027027027027026,1.4613901836411685,-12.43835244140174,234.23386744553977,4.8757184988440585
USD_BRL,0.07924058635267861,0.043275839303690354,0.03824631444990545,0.10729925427279992,0.07065821105226469,0.3923684240773219,0.5958378888555368,-0.010477365653186566,-0.014823849920043127,-0.14022966134682804,0.02023510688679912,0.19141521503838368,2.0511241687513624,0.6585153972517065
EUR_BRL,0.18453930732200607,0.0887814944682412,0.08692638943305164,0.10427966237347162,0.06347298248472626,0.8401110290756751,1.3802170788070702,-0.008868878080771858,-0.013245714000327573,-0.081149932838241,0.01734677565995373,0.4779228864378894,2.124684325560325,0.6086803604848797
PETROLEO_BRENT,0.10711243611584309,0.05412566265560453,0.05135798311352335,0.0906140956211412,0.2434488909279857,0.5843534859851384,0.21750217244270706,0.0,-0.0003337678785725773,-0.049717628075836975,0.011181434769590886,4.046790199110902,64.7163170350203,2.6866558592147616
RESERVAS_INTERNACIONAIS,0.04895573245601503,0.024455957361237717,0.023803040587159208,0.04307152584354846,0.04639072566748777,0.540518519028155,0.501845078434585,-0.0030498867306957777,-0.00710418471766404,-0.12075772081365672,0.01433601006488574,-2.953878913016567,24.254681149471896,1.0770625084422563
PIB_MENSAL,0.10937393861071087,0.057420711470010224,0.052414463556615054,0.11376110744224677,0.239994873685417,0.49441951414339513,0.2343621370168788,0.0,-0.0004798850831306955,-0.08338693652015171,0.013856023246129064,4.517825696810359,64.91894427376296,2.109639041684395
INDUSTRIA,0.05700934579439254,0.04124307829348544,0.027664366104092508,0.16613295626112454,0.604985771679601,0.24118079395702327,0.06622978616876529,0.0,-0.0007809294116309329,-0.1762114537444935,0.027240298698655165,-1.4193778371458725,57.44649752790472,3.6415759118178586
